userId,q1,q2,q3,q4,q5,q6,q7
4097c2f2-8aa6-45a0-ac7d-5c1d206cf310,"profile-family-myself, profile-family-spouse",profile-property-rent,"profile-property-investing, profile-property-wanthome, profile-property-budgeting",,,,
bc6b1fc5-ccff-42f8-83ff-1a9065d44cfd,"profile-family-myself, profile-family-agingparents",profile-property-rent,"profile-property-investing, profile-property-wanthome, profile-property-budgeting",,,,
9759c7c0-62e5-4ad4-9a3f-6bfff3fbfcf8,"profile-family-havepets, profile-family-myself, profile-family-havekids, profile-family-spouse",profile-property-ownhome,"profile-property-estateplanning, profile-property-investing, profile-property-lifeinsurance, profile-property-taxplanning",,,,
d89e4fb3-42a4-4c47-9846-3fb030e3a78c,"profile-family-myself, profile-family-havekids, profile-family-spouse",profile-property-rent,"profile-property-estateplanning, profile-property-investing, profile-property-collegefund, profile-property-budgeting, profile-property-taxplanning",,,,
2a99083b-a3d7-42d0-997a-a72b39f96081,"profile-family-extendedfam, profile-family-myself, profile-family-havekids, profile-family-spouse",profile-property-rent,profile-property-wanthome,,,,
7ee745fd-82b7-4f3d-86a8-1e968578bfbc,profile-family-myself,profile-property-rent,"profile-property-investing, profile-property-wanthome, profile-property-budgeting, profile-property-taxplanning",,,,
fb90a05c-5c8e-473f-beef-cf3335260db0,"profile-family-myself, profile-family-havekids",profile-property-ownhome,"profile-property-estateplanning, profile-property-investing, profile-property-budgeting, profile-property-taxplanning",,,,
d7aecf88-d606-4039-b223-0b4f744b3df3,profile-family-myself,profile-property-rent,"profile-property-investing, profile-property-taxplanning, profile-property-debtmanagement",,,,
c7200a6c-934c-4e31-9b8b-a2f59ef69428,"profile-family-havepets, profile-family-myself",profile-property-rent,"profile-property-investing, profile-property-budgeting, profile-property-debtmanagement",,,,
4a9b24cf-0c30-491b-9d41-820afc29391f,profile-family-myself,profile-property-ownhome,"profile-property-estateplanning, profile-property-investing, profile-property-wanthome, profile-property-budgeting, profile-property-taxplanning",,,,
91314e5d-2414-4024-be6c-2ddf45a0c325,"profile-family-havepets, profile-family-myself, profile-family-havekids, profile-family-spouse",profile-property-ownhome,"profile-property-investing, profile-property-budgeting",,,,
d36a54ee-1821-428f-82c4-6e5d95975f6f,"profile-family-myself, profile-family-spouse",profile-property-rent,"profile-property-investing, profile-property-wanthome, profile-property-taxplanning, profile-property-lifeinsurance, profile-property-budgeting","profile-life-insurance, profile-renters-insurance",profile-beneficiaries,profile-goal-progress-quarterly,profile-invest-beginner
00708f4b-9995-4aea-a315-46bf5f421a63,"profile-family-myself, profile-family-havekids, profile-family-spouse",profile-property-neither,"profile-property-investing, profile-property-taxplanning",,,,
b46ce3f0-1249-4b41-a374-06a1d76def57,profile-family-myself,profile-property-rent,"profile-property-investing, profile-property-wanthome, profile-property-taxplanning, profile-property-budgeting",,,,
1733995c-21f7-42df-979d-db68c039cea1,"profile-family-myself, profile-family-agingparents, profile-family-spouse",profile-property-rent,"profile-property-investing, profile-property-wanthome, profile-property-budgeting, profile-property-taxplanning",,,,
e5e89350-42ee-4e4e-b1f1-1d41e6319121,profile-family-spouse,profile-property-rent,"profile-property-investing, profile-property-wanthome, profile-property-healthcost, profile-property-budgeting, profile-property-taxplanning, profile-property-debtmanagement",,,,
9a6ac531-8295-434c-8ebe-dc88815859a4,"profile-family-myself, profile-family-havekids",profile-property-rent,"profile-property-investing, profile-property-collegefund, profile-property-budgeting, profile-property-taxplanning",,,,
18c17367-491e-4ae8-99ff-c46a32c5814b,"profile-family-myself, profile-family-spouse",profile-property-ownhome,"profile-property-investing, profile-property-taxplanning, profile-property-budgeting, profile-property-debtmanagement",,,,
d8757db2-b43b-43bf-ae74-422c7fc3a237,"profile-family-myself, profile-family-havekids",profile-property-ownhome,"profile-property-estateplanning, profile-property-investing, profile-property-wanthome, profile-property-healthcost, profile-property-collegefund",,,,
